"region","livestockType","managementType","managementSubtype","typicalMass","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"Middle East","breeding swine","anaerobic digester","-",28,0.55,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","composting","in vessel",28,0.55,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","composting","passive windrow",28,0.55,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","composting","intensive windrow",28,0.55,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","composting","static pile",28,0.55,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","daily spread","-",28,0.55,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","deep bedding","no mixing",28,0.55,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","deep bedding","active mixing",28,0.55,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","dry lot","-",28,0.55,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","liquid/slurry","with natural crust cover",28,0.55,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","liquid/slurry","without natural crust cover",28,0.55,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","pasture/range/paddock","-",28,0.55,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","pit storage below animal confinements","-",28,0.55,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","solid storage","-",28,0.55,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","breeding swine","uncovered anaerobic lagoon","-",28,0.55,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","aerobic treatment","natural aeration",380,0.32,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","aerobic treatment","forced aeration",380,0.32,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","anaerobic digester","-",380,0.32,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","composting","intensive windrow",380,0.32,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","composting","static pile",380,0.32,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","composting","in vessel",380,0.32,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","composting","passive windrow",380,0.32,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","daily spread","-",380,0.32,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","deep bedding","active mixing",380,0.32,0.070,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","deep bedding","no mixing",380,0.32,0.010,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","dry lot","-",380,0.32,0.020,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","liquid/slurry","without natural crust cover",380,0.32,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","liquid/slurry","with natural crust cover",380,0.32,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","pasture/range/paddock","-",380,0.32,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","pit storage below animal confinements","-",28,0.32,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","solid storage","-",380,0.32,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","buffalo","uncovered anaerobic lagoon","-",380,0.32,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","aerobic treatment","natural aeration",275,0.7,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","aerobic treatment","forced aeration",275,0.7,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","anaerobic digester","-",275,0.7,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","composting","passive windrow",275,0.7,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","composting","in vessel",275,0.7,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","composting","intensive windrow",275,0.7,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","composting","static pile",275,0.7,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","daily spread","-",275,0.7,0.000,0.070,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","deep bedding","active mixing",275,0.7,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","deep bedding","no mixing",275,0.7,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","dry lot","-",275,0.7,0.020,0.200,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","liquid/slurry","without natural crust cover",275,0.7,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","liquid/slurry","with natural crust cover",275,0.7,0.005,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","pasture/range/paddock","-",275,0.7,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","pit storage below animal confinements","-",275,0.7,0.002,0.280,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","solid storage","-",275,0.7,0.005,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","dairy cattle","uncovered anaerobic lagoon","-",275,0.7,0.000,0.350,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","aerobic treatment","natural aeration",28,1.57,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","aerobic treatment","forced aeration",28,1.57,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","anaerobic digester","-",28,1.57,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","composting","passive windrow",28,1.57,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","composting","static pile",28,1.57,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","composting","in vessel",28,1.57,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","composting","intensive windrow",28,1.57,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","daily spread","-",28,1.57,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","deep bedding","no mixing",28,1.57,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","deep bedding","active mixing",28,1.57,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","dry lot","-",28,1.57,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","liquid/slurry","without natural crust cover",28,1.57,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","liquid/slurry","with natural crust cover",28,1.57,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","pasture/range/paddock","-",28,1.57,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","pit storage below animal confinements","-",28,1.57,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","solid storage","-",28,1.57,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","market swine","uncovered anaerobic lagoon","-",28,1.57,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","aerobic treatment","forced aeration",173,0.79,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","aerobic treatment","natural aeration",173,0.79,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","anaerobic digester","-",173,0.79,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","composting","in vessel",173,0.79,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","composting","static pile",173,0.79,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","composting","passive windrow",173,0.79,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","composting","intensive windrow",173,0.79,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","daily spread","-",173,0.79,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","deep bedding","active mixing",173,0.79,0.070,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","deep bedding","no mixing",173,0.79,0.010,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","dry lot","-",173,0.79,0.020,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","liquid/slurry","without natural crust cover",173,0.79,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","liquid/slurry","with natural crust cover",173,0.79,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","pasture/range/paddock","-",173,0.79,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","pit storage below animal confinements","-",173,0.79,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","solid storage","-",173,0.79,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","other cattle","uncovered anaerobic lagoon","-",173,0.79,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","aerobic treatment","natural aeration",28,1.64,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","aerobic treatment","forced aeration",28,1.64,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","anaerobic digester","-",28,1.64,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","composting","intensive windrow",28,1.64,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","composting","static pile",28,1.64,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","composting","passive windrow",28,1.64,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","composting","in vessel",28,1.64,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","daily spread","-",28,1.64,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","deep bedding","no mixing",28,1.64,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","deep bedding","active mixing",28,1.64,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","dry lot","-",28,1.64,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","liquid/slurry","with natural crust cover",28,1.64,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","liquid/slurry","without natural crust cover",28,1.64,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","pasture/range/paddock","-",28,1.64,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","pit storage below animal confinements","-",28,1.64,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","solid storage","-",28,1.64,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Middle East","typical swine","uncovered anaerobic lagoon","-",28,1.64,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","aerobic treatment","natural aeration",198,0.24,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","aerobic treatment","forced aeration",198,0.24,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","anaerobic digester","-",198,0.24,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","composting","passive windrow",198,0.24,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","composting","intensive windrow",198,0.24,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","composting","in vessel",198,0.24,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","composting","static pile",198,0.24,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","daily spread","-",198,0.24,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","deep bedding","no mixing",198,0.24,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","deep bedding","active mixing",198,0.24,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","dry lot","-",198,0.24,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","liquid/slurry","without natural crust cover",198,0.24,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","liquid/slurry","with natural crust cover",198,0.24,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","pasture/range/paddock","-",198,0.24,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","pit storage below animal confinements","-",198,0.24,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","solid storage","-",198,0.24,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","breeding swine","uncovered anaerobic lagoon","-",198,0.24,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","aerobic treatment","natural aeration",604,0.44,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","aerobic treatment","forced aeration",604,0.44,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","anaerobic digester","-",604,0.44,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","composting","in vessel",604,0.44,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","composting","static pile",604,0.44,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","composting","intensive windrow",604,0.44,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","composting","passive windrow",604,0.44,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","daily spread","-",604,0.44,0.000,0.070,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","deep bedding","no mixing",604,0.44,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","deep bedding","active mixing",604,0.44,0.070,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","dry lot","-",604,0.44,0.020,0.200,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","liquid/slurry","without natural crust cover",604,0.44,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","liquid/slurry","with natural crust cover",604,0.44,0.005,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","pasture/range/paddock","-",604,0.44,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","pit storage below animal confinements","-",604,0.44,0.002,0.280,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","solid storage","-",604,0.44,0.005,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","dairy cattle","uncovered anaerobic lagoon","-",604,0.44,0.000,0.350,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","aerobic treatment","forced aeration",46,0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","aerobic treatment","natural aeration",46,0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","anaerobic digester","-",46,0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","composting","intensive windrow",46,0.42,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","composting","passive windrow",46,0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","composting","static pile",46,0.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","composting","in vessel",46,0.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","daily spread","-",46,0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","deep bedding","active mixing",46,0.42,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","deep bedding","no mixing",46,0.42,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","dry lot","-",46,0.42,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","liquid/slurry","with natural crust cover",46,0.42,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","liquid/slurry","without natural crust cover",46,0.42,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","pasture/range/paddock","-",46,0.42,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","pit storage below animal confinements","-",46,0.42,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","solid storage","-",46,0.42,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","market swine","uncovered anaerobic lagoon","-",46,0.42,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","aerobic treatment","forced aeration",389,0.31,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","aerobic treatment","natural aeration",389,0.31,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","anaerobic digester","-",389,0.31,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","composting","static pile",389,0.31,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","composting","intensive windrow",389,0.31,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","composting","passive windrow",389,0.31,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","composting","in vessel",389,0.31,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","daily spread","-",389,0.31,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","deep bedding","active mixing",389,0.31,0.070,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","deep bedding","no mixing",389,0.31,0.010,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","dry lot","-",389,0.31,0.020,0.300,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","liquid/slurry","without natural crust cover",389,0.31,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","liquid/slurry","with natural crust cover",389,0.31,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","pasture/range/paddock","-",389,0.31,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","pit storage below animal confinements","-",389,0.31,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","solid storage","-",389,0.31,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","other cattle","uncovered anaerobic lagoon","-",389,0.31,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","aerobic treatment","natural aeration",61.2,0.5,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","aerobic treatment","forced aeration",61.2,0.5,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","anaerobic digester","-",61.2,0.5,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","composting","static pile",61.2,0.5,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","composting","in vessel",61.2,0.5,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","composting","passive windrow",61.2,0.5,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","composting","intensive windrow",61.2,0.5,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","daily spread","-",61.2,0.5,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","deep bedding","active mixing",61.2,0.5,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","deep bedding","no mixing",61.2,0.5,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","dry lot","-",61.2,0.5,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","liquid/slurry","with natural crust cover",61.2,0.5,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","liquid/slurry","without natural crust cover",61.2,0.5,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","pasture/range/paddock","-",61.2,0.5,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","pit storage below animal confinements","-",61.2,0.5,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","solid storage","-",61.2,0.5,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"North America","typical swine","uncovered anaerobic lagoon","-",61.2,0.5,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Oceania","breeding swine","aerobic treatment","forced aeration",180,0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
