type,defClinkerContent,units,source
100% Portland Output,95,percent,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
Blended and/or Masonry Cement,75,percent,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
