type,kgCO2PerKmPassenger,kgCO2PerPassengerKmIE,kgCO2PerPassengerKmES,typicalJourneyDistance,units,source,algorithm,default
national,0.0577,0.0440,0.0250,51.2000,kgCO2/km.passenger,UK: http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls; IE:Irish Rail 2006 Via Agency.com (Based on diesel used and passenger km travelled); ES: http://www.terra.org/articulos/art02089.html,value*user_distance,
underground,0.0780,0.0530,0.0250,13.9000,kgCO2/km.passenger,UK: http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls; ES: http://www.terra.org/articulos/art02089.html,value*user_distance,
local rail,0.0834,0.0440,0.0250,13.9000,kgCO2/km.passenger,UK: http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls; IE:Irish Rail 2006 Via Agency.com (Based on diesel used and occupancy passenger km travelled); ES: http://www.terra.org/articulos/art02089.html,value*user_distance,
tram,0.0834,0.0780,0.0250,13.9000,kgCO2/km.passenger,UK: http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls; ES: http://www.terra.org/articulos/art02089.html,value*user_distance,
international,0.0177,0.0177,0.0177,434.0000,kgCO2/km.passenger,UK: http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls,,
