region=AKMS&type=total
massCO2PerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),480.099
2005-01-01T00:00:00+00:00 (GMT),498.8588
2007-01-01T00:00:00+00:00 (GMT),535.7275
