region=SRMW&type=non+baseload
massCO2ePerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),null
2005-01-01T00:00:00+00:00 (GMT),2111.9023184
2007-01-01T00:00:00+00:00 (GMT),1955.3685977
