"type","subtype","size","region","massCO2PerMassDistance","massCH4PerMassDistance","massN2OPerMassDistance","units","source"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","uk",0.90143320000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.25 tonnes","other",0.29700000000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.25 tonnes","uk",1.71332460000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.25 tonnes","us",0.29700000000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","unknown","unknown","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","unknown","unknown","uk",0.85630460000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","unknown","unknown","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rail","unknown","unknown","other",0.02520000000000,0.0020,0.0006,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rail","unknown","unknown","uk",0.04161000000000,0.0020,0.0006,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rail","unknown","unknown","us",0.02520000000000,0.0020,0.0006,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","large (14201 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","large (14201 tonnes deadweight)","uk",0.011533781327941,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","large (14201 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","small (1720 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","small (1720 tonnes deadweight)","uk",0.04263200000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","small (1720 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","very large (70000 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","very large (70000 tonnes deadweight)","uk",0.005985886511969,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","bulk carrier","very large (70000 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","container vessel","large (20000 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","container vessel","large (20000 tonnes deadweight)","uk",0.01825000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","container vessel","large (20000 tonnes deadweight)","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"shipping","container vessel","small (2500 tonnes deadweight)","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
