path,versions,aliasedTo
type,1.0|2.0,
source,1.0|2.0,
floorspaceUnits,1.0|2.0,
hasFitnessRoom,1.0|2.0,
numberOfRooms,1.0|2.0,
hasCentrallyControlledAirCon,1.0|2.0,
refrigerantVolume,1.0|2.0,
numberOfMeetingRooms,1.0|2.0,
hasCeilingFan,1.0|2.0,
hasTurkishBath,1.0|2.0,
hasFitnessCentre,1.0|2.0,
rating,1.0|2.0,
hasOutdoorPool,1.0|2.0,
hasSolarium,1.0|2.0,
hasSauna,1.0|2.0,
hasRoomTempControl,1.0|2.0,
averageOccupancyRate,1.0|2.0,
proportionFloorspaceaccommodation,1.0|2.0,
hasIndoorPool,1.0|2.0,
totalFloorspace,1.0|2.0,
hasIndividuallyControlledVentilation,1.0|2.0,
hasCentrallyControlledVentilation,1.0|2.0,
proportionFloorspaceRemaining,1.0|2.0,
proportionFloorspaceMeetingRooms,1.0|2.0,
