"brand","model","energyPerTime","units","source"
"Amana","AQC15***EW",354,"kWh/year","www.energystar.gov"
"Amana","AQF1613TEW",582,"kWh/year","www.energystar.gov"
"Amana","AQF2013TEW",671,"kWh/year","www.energystar.gov"
"Amana","AQF2023TEW",671,"kWh/year","www.energystar.gov"
"Amana","AQU1525AEW",409,"kWh/year","www.energystar.gov"
"Amana","AQU1613TEW",409,"kWh/year","www.energystar.gov"
"Amana","AQU1625BEW",409,"kWh/year","www.energystar.gov"
"Amana","AQU1626BEW",409,"kWh/year","www.energystar.gov"
"Avanti","VM799W",292,"kWh/year","www.energystar.gov"
"Beaumark","BFH13M3HW",378,"kWh/year","www.energystar.gov"
"Beaumark","BFN09M4HW",264,"kWh/year","www.energystar.gov"
"Beaumark","BFN09M4HW*",264,"kWh/year","www.energystar.gov"
"Black&Decker","BFE53",196,"kWh/year","www.energystar.gov"
"Bosch","B18ID80*",375,"kWh/year","www.energystar.gov"
"Bosch","B18IF70*",332,"kWh/year","www.energystar.gov"
"Bosch","B24ID80*",505,"kWh/year","www.energystar.gov"
"Bosch","B24IF70*",446,"kWh/year","www.energystar.gov"
"Bosch","B30IF70*",482,"kWh/year","www.energystar.gov"
"Crosley","WCC10/E",282,"kWh/year","www.energystar.gov"
"Crosley","WCC12/E",298,"kWh/year","www.energystar.gov"
"Crosley","WCC17/E",360,"kWh/year","www.energystar.gov"
"Crosley","WCF15/E",582,"kWh/year","www.energystar.gov"
"Crosley","WCF17/*",616,"kWh/year","www.energystar.gov"
"Crosley","WCF18/*",635,"kWh/year","www.energystar.gov"
"Crosley","WCF20/E",671,"kWh/year","www.energystar.gov"
"Crosley","WCF20/E5",671,"kWh/year","www.energystar.gov"
"Crosley","WCV15/E",409,"kWh/year","www.energystar.gov"
"Crosley","WCV17/E",430,"kWh/year","www.energystar.gov"
"Danby","DCF10**WE",282,"kWh/year","www.energystar.gov"
"Danby","DCF1014WE",282,"kWh/year","www.energystar.gov"
"Danby","DCF1024WE",282,"kWh/year","www.energystar.gov"
"Danby","DCF15**WE",354,"kWh/year","www.energystar.gov"
"Danby","DCF1504WE",354,"kWh/year","www.energystar.gov"
"Danby","DUF1608WE",409,"kWh/year","www.energystar.gov"
