"fuelType","kgCO2PerMile",units,source
diesel,2.7381081,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
gasoline,1.7197470,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
