"productType","brand","modelName","modelNumber","category","energyPerTime","units","source"
"Notebook/Tablet","Acer","ZY2L","Extensa 7230 series","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","ZY2L","TravelMate 7330 series","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","ZY2L","Extensa 7630Z series","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","ZY2L","Extensa 7630EZ series","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","ZY2L","Extensa 7230E series","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","LL1","EC54","A",22.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","LL1","EC54","B",32.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","LL1","EC58","A",22.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","LL1","EC58","B",32.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Packard Bell","LL1","Easynote Butterfly m","A",22.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Packard Bell","LL1","Easynote Butterfly m","B",32.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","NCWG0","Aspire 5517 series","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","NCWG0","E627 series","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","NCWG0","Aspire 5532 series","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","NAL10","Aspire 5538 series","A",33.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","NAL10","Aspire 5538 series","B",38.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","KAV60","Aspire one D250 series","A",23.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","Eee PC 1005HAG","1005HAG","A",24.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","Eee PC 1005HAG","1005HAGB","A",24.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","KAWF0","E725 series","A",33.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","KAWF0","E525 series","A",33.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","Eee PC S101","S101H","A",25,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","Eee PC 1002HA","1002HA","A",23.2,"kWh/year","www.energystar.gov"
