"fuelType","kgCO2PerMile",units,source
gasoline,0.3821660,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
diesel,0.4502667,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
