path,versions,aliasedTo
type,1.0|2.0,
size,1.0|2.0,
kgCO2PerPassengerJourney,1.0|2.0,
kgCO2PerPassengerKm,1.0|2.0,
source,1.0|2.0,
IATACode1,1.0|2.0,
IATACode2,1.0|2.0,
distance,2.0,
distanceKmPerYear,1.0,distance
journeys,2.0,
journeysPerYear,1.0,journeys
lat1,1.0|2.0,
lat2,1.0|2.0,
long1,1.0|2.0,
long2,1.0|2.0,
numberOfPassengers,1.0|2.0,
passengerClass,1.0|2.0,
radiativeForcingIndex,1.0|2.0,
useRFI,1.0|2.0,
calculatedDistance,1.0|2.0,
