"fuel","technology","massN2OPerDistanceUrbanCold","massN2OPerDistanceUrbanHot","massN2OPerDistanceHighway","massN2OPerDistanceRural","massCH4PerDistanceUrbanCold","massCH4PerDistanceUrbanHot","massCH4PerDistanceRural","massCH4PerDistanceHighway","units","source"
"gasoline","pre-euro",10,10,6.5,6.5,201,131,86,41,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","euro 1",38,22,8,17,45,26,16,14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","euro 2",24,11,2.5,4.5,94,17,13,11,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","euro 3",12,3,1.5,2,83,3,2,4,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"gasoline","euro 4",6,2,0.7,0.8,57,2,2,0,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","pre-euro",0,0,0,0,22,28,12,8,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","euro 1",0,2,4,4,18,11,9,3,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","euro 2",3,4,6,6,6,7,3,2,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","euro 3",15,9,4,4,7,3,0,0,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","euro 4",15,9,4,4,0,0,0,0,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"lpg","pre-ece",0,0,0,0,80,80,35,25,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"lpg","euro 1",38,21,8,13,80,80,35,25,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"lpg","euro 2",23,13,2,3,80,80,35,25,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"lpg","euro 3 and later",9,5,1,2,80,80,35,25,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
