country,change,cumulative,annual2006,perCapita,rank,units,source
Mexico,24,11463.7,436.0,4.05396825759732,15,Dummy,http://www.eia.doe.gov/environment.html
Guinea-Bissau,20,,0.4,0.27859142012528,183,Dummy,http://www.eia.doe.gov/environment.html
Afghanistan,-84,77.1,1.0,0.025773055912296,169,Dummy,http://www.eia.doe.gov/environment.html
Ethiopia,67,93.5,5.0,0.068607879157667,125,Dummy,http://www.eia.doe.gov/environment.html
Costa Rica,22,127.6,6.0,1.4116817067674,116,Dummy,http://www.eia.doe.gov/environment.html
Bosnia and Herzegovina,74,666.6,17.0,3.86912509517555,85,Dummy,http://www.eia.doe.gov/environment.html
United Kingdom,-1,67906.8,586.0,9.6637552164123,8,Dummy,http://www.eia.doe.gov/environment.html
United Arab Emirates,31,1660.3,150.0,35.0508879604148,32,Dummy,http://www.eia.doe.gov/environment.html
"Virgin Islands, British",39,,0.1,4.27349304058375,205,Dummy,http://www.eia.doe.gov/environment.html
Tonga,17,2.6,0.2,1.35449841408402,200,Dummy,http://www.eia.doe.gov/environment.html
Montserrat,39,,0.1,7.67091734157895,209,Dummy,http://www.eia.doe.gov/environment.html
Pakistan,24,2303.0,126.0,0.77650223225777,34,Dummy,http://www.eia.doe.gov/environment.html
Libya,22,1158.3,54.0,9.06884575466259,55,Dummy,http://www.eia.doe.gov/environment.html
Somalia,23,,1.0,0.083638336581848,170,Dummy,http://www.eia.doe.gov/environment.html
Cape Verde,55,4.7,0.3,0.61973004439419,191,Dummy,http://www.eia.doe.gov/environment.html
Bolivia,41,260.1,12.0,1.38082457497426,94,Dummy,http://www.eia.doe.gov/environment.html
Montenegro,,,,,,Dummy,http://www.eia.doe.gov/environment.html
Nicaragua,36,99.6,5.0,0.82012761117435,123,Dummy,http://www.eia.doe.gov/environment.html
Dominica,17,2.2,0.1,1.35617040522575,206,Dummy,http://www.eia.doe.gov/environment.html
Sweden,-18,4239.6,57.0,6.36218439562105,54,Dummy,http://www.eia.doe.gov/environment.html
Czech Republic,-15,10006.1,116.0,11.3629258474188,36,Dummy,http://www.eia.doe.gov/environment.html
Falkland Islands (Islas Malvinas),20,,,,210,Dummy,http://www.eia.doe.gov/environment.html
Russia,5,90135.0,1704.0,11.9966386173608,3,Dummy,http://www.eia.doe.gov/environment.html
Greece,19,2535.4,107.0,10.0181262364913,38,Dummy,http://www.eia.doe.gov/environment.html
Guadeloupe,19,,2.0,,147,Dummy,http://www.eia.doe.gov/environment.html
Cambodia,20,20.5,1.0,0.047405185849963,180,Dummy,http://www.eia.doe.gov/environment.html
Ireland,32,1584.5,47.0,11.5363889142747,64,Dummy,http://www.eia.doe.gov/environment.html
Syria,17,1096.7,51.0,2.70546577546633,61,Dummy,http://www.eia.doe.gov/environment.html
Denmark,-23,3446.3,59.0,10.8485374987453,60,Dummy,http://www.eia.doe.gov/environment.html
Vanuatu,38,2.8,0.1,0.50611565216169,203,Dummy,http://www.eia.doe.gov/environment.html
Norway,12,1790.0,45.0,9.79237297280491,65,Dummy,http://www.eia.doe.gov/environment.html
Gabon,-28,148.2,4.0,3.03984069076086,119,Dummy,http://www.eia.doe.gov/environment.html
New Caledonia,30,,3.0,11.8548369451039,137,Dummy,http://www.eia.doe.gov/environment.html
Malawi,25,32.7,1.0,0.074433704545218,165,Dummy,http://www.eia.doe.gov/environment.html
Djibouti,9,11.5,2.0,4.11651837578498,150,Dummy,http://www.eia.doe.gov/environment.html
Namibia,50,27.3,3.0,1.31673248416161,138,Dummy,http://www.eia.doe.gov/environment.html
Switzerland,1,2398.5,46.0,6.05586064379461,63,Dummy,http://www.eia.doe.gov/environment.html
Samoa,19,4.0,0.2,0.79581543074469,199,Dummy,http://www.eia.doe.gov/environment.html
Chad,17,6.5,0.2,0.021647971339539,196,Dummy,http://www.eia.doe.gov/environment.html
Bhutan,19,6.3,0.3,0.48839972129605,186,Dummy,http://www.eia.doe.gov/environment.html
Haiti,38,38.1,2.0,0.21081528225853,151,Dummy,http://www.eia.doe.gov/environment.html
Tajikistan,36,513.8,7.0,1.05923630943452,106,Dummy,http://www.eia.doe.gov/environment.html
Vietnam,57,1315.7,92.0,1.08555896648616,42,Dummy,http://www.eia.doe.gov/environment.html
Asia & Oceania,39,,11220.0,3.07438668599098,,Dummy,http://www.eia.doe.gov/environment.html
Guyana,37,,2.0,2.14652894068536,152,Dummy,http://www.eia.doe.gov/environment.html
Turkmenistan,64,1746.8,50.0,10.0265876999016,62,Dummy,http://www.eia.doe.gov/environment.html
Kuwait,34,1605.3,75.0,30.9249654862401,46,Dummy,http://www.eia.doe.gov/environment.html
Canada,15,23930.0,614.0,18.8117471452485,7,Dummy,http://www.eia.doe.gov/environment.html
France,6,31775.7,418.0,6.59691993951258,14,Dummy,http://www.eia.doe.gov/environment.html
Serbia,,2223.4,,,,Dummy,http://www.eia.doe.gov/environment.html
Venezuela,12,5004.4,152.0,5.92654542795016,31,Dummy,http://www.eia.doe.gov/environment.html
Belize,73,12.4,1.0,3.43954712626249,163,Dummy,http://www.eia.doe.gov/environment.html
Italy,9,17886.5,468.0,8.04967160891066,10,Dummy,http://www.eia.doe.gov/environment.html
Equatorial Guinea,68,38.2,5.0,8.37105132961645,121,Dummy,http://www.eia.doe.gov/environment.html
Tanzania,47,106.4,5.0,0.12146523681621,126,Dummy,http://www.eia.doe.gov/environment.html
Algeria,9,2161.2,93.0,2.82658645063244,41,Dummy,http://www.eia.doe.gov/environment.html
Africa,20,,1057.0,1.15632902820977,,Dummy,http://www.eia.doe.gov/environment.html
Lebanon,8,407.9,14.0,3.69286581665845,88,Dummy,http://www.eia.doe.gov/environment.html
Azerbaijan,2,1943.1,40.0,4.93687638990803,71,Dummy,http://www.eia.doe.gov/environment.html
Israel,26,1434.2,67.0,9.80481850158378,49,Dummy,http://www.eia.doe.gov/environment.html
Eurasia,7,,2601.0,9.11256440303288,,Dummy,http://www.eia.doe.gov/environment.html
Nigeria,-1,2179.3,101.0,0.76650963587253,37,Dummy,http://www.eia.doe.gov/environment.html
