"country","massCO2PerEnergy","units","source"
"Albania","0.0324402",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Algeria","0.6881182",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Angola","0.0982004",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Argentina","0.3033696",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Armenia","0.1382909",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Australia","0.9205270",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Austria","0.2144710",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Azerbaijan","0.4734752",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bahrain","0.8248637",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bangladesh","0.5843308",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belarus","0.2963771",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belgium","0.2600360",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Benin","0.6962126",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bolivia","0.5049688",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bosnia-Herzegovina ","0.8019580",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Botswana","1.8514539",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brazil","0.0814376",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brunei Darussalam","0.8210049",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bulgaria","0.4479618",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cambodia","1.0049344",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cameroon","0.0425357",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Canada","0.1841790",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Chile","0.2942425",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"People's Republic of China","0.7878700",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"China (including Hong Kong)","0.7883087",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Chinese Taipei","0.6316800",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Colombia","0.1496172",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Congo","0.1023289",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Democratic Republic of Congo","0.0027816",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"Costa Rica","0.0473985",,"http://www.ghgprotocol.org/calculation-tools/all-tools"
