country=Bahrain
massCO2PerEnergy
start,value
2000-01-01T00:00:00+00:00 (GMT),0.8678482
2001-01-01T00:00:00+00:00 (GMT),0.8399183
2002-01-01T00:00:00+00:00 (GMT),0.8350802
2003-01-01T00:00:00+00:00 (GMT),0.8830508
2004-01-01T00:00:00+00:00 (GMT),0.8813498
2005-01-01T00:00:00+00:00 (GMT),0.8901022
2006-01-01T00:00:00+00:00 (GMT),0.7989319
