path,versions,aliasedTo
type,1.0|2.0,
kgCO2PerKWh,1.0|2.0,
kgCO2PerKg,1.0|2.0,
kgCO2PerLitre,1.0|2.0,
source,1.0|2.0,
currentReading,2.0,
deliveries,2.0,
energyConsumption,2.0,
greenTariff,1.0|2.0,
includesHeating,1.0|2.0,
kWhPerMonth,1.0,energyConsumption
kWhReadingCurrent,1.0,currentReading
kWhReadingLast,1.0,lastReading
kgPerMonth,1.0,massPerTime
lastReading,2.0,
litresPerMonth,1.0,volumePerTime
massPerTime,2.0,
numberOfDeliveries,1.0,deliveries
paymentFrequency,1.0|2.0,
season,1.0|2.0,
volumePerTime,2.0,
