name,Carbon Reduction Commitment
algFile,default.js
name,path,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Fuel,fuel,TEXT,true,true,,,,
Mass CO2 per energy,massCO2PerEnergy,DECIMAL,true,false,kg,kWh,,
Mass CO2 per mass,massCO2PerMass,DECIMAL,true,false,kg,t,,
Mass CO2 per volume,massCO2PerVolume,DECIMAL,true,false,kg,L,,
Energy used,energyUsed,DECIMAL,false,false,kWh,,,
Mass used,massUsed,DECIMAL,false,false,t,,,
Volume used,volumeUsed,DECIMAL,false,false,L,,,
Quantity basis,basis,TEXT,true,false,,,,
Source,source,TEXT,true,false,,,,
