path,versions,aliasedTo
country,1.0|2.0,
airportName,1.0|2.0,
IATACode,1.0|2.0,
fullName,1.0|2.0,
latitude,1.0|2.0,
longitude,1.0|2.0,
source,1.0|2.0,
