type,kWhPerYear,units,source,algorithm
lel,12.16,kWh/year,MTP/defra 2007,userNumberofLELBulbs*lightingkWhYear
normal,31.34,kWh/year,MTP/defra 2007,userNumberofNormalBulbs*lightingkWhYear
