path,versions,aliasedTo
year,2.0,
manufacturer,1.0|2.0,
line,1.0|2.0,
engineSize,1.0|2.0,
transmission,1.0|2.0,
class,1.0|2.0,
cylinders,1.0|2.0,
driveSystem,1.0|2.0,
fuelType,1.0|2.0,
indexNumber,1.0|2.0,
mpgCity,1.0|2.0,
mpgCombined,1.0|2.0,
mpgHighway,1.0|2.0,
releaseDate,1.0|2.0,
source,1.0|2.0,
ownFuelConsumption,2.0,
drivingType,1.0|2.0,
distance,2.0,
