"country","massCO2PerEnergy","units","source"
"Oman",0.8296841,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Pakistan",0.5356274,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peru",0.8945501,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Philippines",0.3555857,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Poland",0.329134,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Portugal",0.330508,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Qatar",0.6257141,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Romania",0.3146151,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Russia",0.3046819,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Saudi Arabia",0.7652464,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Senegal",0.5161489,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Serbia and Montenegro",0.2287641,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Singapore",0.4877848,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovak Republic",0.236325,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovenia ",0.2440636,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"South Africa",0.8035455,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Spain",0.341763,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sweden",0.217296,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Switzerland",0.242056,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Syria",0.543041,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tajikistan",0.3493267,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tanzania",0.6025136,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Thailand",0.4715522,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Trinidad and Tobago",0.7272933,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tunisia",0.5028355,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Turkey",0.340513,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Turkmenistan",0.7952845,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ukraine",0.2644922,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Arab Emirates",0.8122157,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Kingdom",0.389535,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United States",0.434366,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uruguay",0.536,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uzbekistan",0.4687643,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Venezuela",0.7187844,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Vietnam",0.546457,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Latin America",0.6974444,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
