sector,process,gas,massPerMass,massCF4PerMass,massC2F6PerMass,massC3F8PerMass,massCHF3PerMass,units,source
photovoltaic,cvd cleaning only,N2O,1.0,,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
LCD,cvd cleaning only,N2O,1.0,,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,cvd cleaning only,N2O,1.0,,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,CF4,0.9000,,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,C2F6,0.6000,0.2000,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,CHF3,0.4000,0.0700,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,CH2F2,0.1000,0.0800,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,C3F8,0.4000,0.1000,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,c-C4F8 ,0.1000,0.1000,0.1000,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,remote NF3,0.0200,0.0200,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
semiconductor,aggregated,NF3,0.2000,0.0900,,,,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_6_Ch6_Electronics_Industry.pdf
