type,size,kWOn,kWStandby,units,source,algorithm,default
crt,less than 14,0.011,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,14-18,0.039,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,19-22,0.076,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,23-25,0.099,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,26-28,0.132,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,29-33,0.173,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
crt,34-38,0.216,0.0026,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,less than 14,0.011,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,14-18,0.037,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,19-22,0.064,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,23-25,0.084,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,26-28,0.108,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,29-33,0.163,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,34-38,0.218,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,39-43,0.255,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,44-48,0.337,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,49-53,0.399,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,54-58,0.482,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,59-64,0.574,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
lcd,65+,0.674,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,34-38,0.248,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,39-43,0.320,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,44-48,0.384,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,49-53,0.453,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,54-58,0.548,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,59-64,0.653,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
plasma,65+,0.766,0.0040,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,34-38,0.094,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,39-43,0.122,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,44-48,0.146,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,49-53,0.172,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,54-58,0.209,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,59-64,0.248,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
other,65+,0.315,0.0018,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,less than 14,0.011,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,14-18,0.037,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,19-22,0.064,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,23-25,0.084,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,26-28,0.108,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,29-33,0.163,0.0022,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,34-38,0.233,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,39-43,0.287,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,44-48,0.361,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,49-53,0.426,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,54-58,0.515,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,59-64,0.613,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
flat screen,65+,0.720,0.0031,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
