path,versions,aliasedTo
type,1.0|2.0,
size,1.0|2.0,
kWOn,1.0|2.0,
kWStandby,1.0|2.0,
source,1.0|2.0,
comment,1.0|2.0,
hoursOn,2.0,
hoursPerMonth,1.0,hoursOn
standbyAlwaysCO2,1.0|2.0,
standbyMostlyCO2,1.0|2.0,
standbySometimesCO2,1.0|2.0,
