cellType,defOvCoef,defWeightFrac,units,source
Side Work Prebake,3.65,0.252,fraction,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
Centre Work Prebake,1.16,0.121,fraction,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
