"system","drainage","flooding","organicAmendment","massCH4PerAreaPerDay","cultivationWaterScalingFactor","preCultivationWaterScalingFactor","organicFactor","units","source"
"rainfed","drought prone","over 180 days","farm yard manure",1.3,0.25,0.68,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","over 180 days","none",1.3,0.25,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","over 180 days","straw (under 30 days)",1.3,0.25,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","over 180 days","compost",1.3,0.25,0.68,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","over 180 days","straw (over 30 days)",1.3,0.25,0.68,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","compost",1.3,0.25,1,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","straw (over 30 days)",1.3,0.25,1,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","green manure",1.3,0.25,1,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","straw (under 30 days)",1.3,0.25,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","none",1.3,0.25,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 180 days","farm yard manure",1.3,0.25,1,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","green manure",1.3,0.25,1.9,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","compost",1.3,0.25,1.9,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","none",1.3,0.25,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","straw (under 30 days)",1.3,0.25,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","straw (over 30 days)",1.3,0.25,1.9,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","drought prone","under 30 days","farm yard manure",1.3,0.25,1.9,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","compost",1.3,0.28,1.22,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","farm yard manure",1.3,0.28,1.22,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","straw (under 30 days)",1.3,0.28,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","none",1.3,0.28,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","green manure",1.3,0.28,1.22,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","aggregated","straw (over 30 days)",1.3,0.28,1.22,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","straw (over 30 days)",1.3,0.28,0.68,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","compost",1.3,0.28,0.68,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","none",1.3,0.28,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","straw (under 30 days)",1.3,0.28,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","green manure",1.3,0.28,0.68,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","over 180 days","farm yard manure",1.3,0.28,0.68,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","straw (under 30 days)",1.3,0.28,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","compost",1.3,0.28,1,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","farm yard manure",1.3,0.28,1,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","green manure",1.3,0.28,1,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","none",1.3,0.28,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 180 days","straw (over 30 days)",1.3,0.28,1,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","straw (under 30 days)",1.3,0.28,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","green manure",1.3,0.28,1.9,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","none",1.3,0.28,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","straw (over 30 days)",1.3,0.28,1.9,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","compost",1.3,0.28,1.9,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"rainfed","regular rainfed","under 30 days","farm yard manure",1.3,0.28,1.9,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","compost",1.3,0,0.68,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","straw (under 30 days)",1.3,0,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","farm yard manure",1.3,0,0.68,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","none",1.3,0,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","green manure",1.3,0,0.68,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"upland","non flooded","non flooded","straw (over 30 days)",1.3,0,0.68,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
