"process","emission","massCO2PerMass","massCH4PerMass","massFeedstockPerMass","units","source"
"direct chlorination","noncombustion process vent",0.00000,0.02260,0.29000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"direct chlorination","combustion",0.19100,0.02260,0.29000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"direct chlorination","total",0.19100,0.02260,0.29000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"oxychlorination","noncombustion process vent",0.01130,0.02260,0.30200,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"oxychlorination","combustion",0.19100,0.02260,0.30200,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"oxychlorination","total",0.20200,0.02260,0.30200,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"balanced process","noncombustion process vent",0.00570,0.02260,0.29600,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"balanced process","combustion",0.19100,0.02260,0.29600,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"balanced process","total",0.19600,0.02260,0.29600,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
