homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,1,coal,post 1995,open fires,11471,kgco2/year,defra/bre/dgen 2007,
detached house,1,coal,post 1995,closed room heaters,6995,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,boiler (old-12-15yrs old),6336,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,boiler (average-5-10yrs old),5280,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,boiler (new-less than 5 yrs old),4874,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,room heaters,7197,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,warm air,5431,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,back boiler,5849,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,1930-1995,boiler (condensing),4320,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,boiler (old-12-15yrs old),8099,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,boiler (average-5-10yrs old),6749,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,boiler (new-less than 5 yrs old),6230,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,room heaters,9020,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,warm air,6942,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,back boiler,7476,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,pre 1930,boiler (condensing),5522,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,boiler (old-12-15yrs old),4141,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,boiler (average-5-10yrs old),3451,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,boiler (new-less than 5 yrs old),3185,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,room heaters,4926,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,warm air,3549,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,back boiler,3822,kgco2/year,defra/bre/dgen 2007,
detached house,1,gas,post 1995,boiler (condensing),2823,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,boiler (old-12-15yrs old),7378,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,boiler (average-5-10yrs old),5995,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,boiler (new-less than 5 yrs old),5642,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,room heaters,8965,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,boiler (condensing),5329,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,1930-1995,warm air,6851,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,boiler (old-12-15yrs old),9422,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,boiler (average-5-10yrs old),7656,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,boiler (new-less than 5 yrs old),7205,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,room heaters,11380,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,boiler (condensing),6805,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,pre 1930,warm air,8749,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,boiler (old-12-15yrs old),4828,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,boiler (average-5-10yrs old),3923,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,boiler (new-less than 5 yrs old),3692,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,room heaters,5950,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,boiler (condensing),3487,kgco2/year,defra/bre/dgen 2007,
detached house,2,oil,post 1995,warm air,4483,kgco2/year,defra/bre/dgen 2007,
detached house,2,lpg,1930-1995,boiler (old-12-15yrs old),6921,kgco2/year,defra/bre/dgen 2007,
