"reference","title","author","year","publisher","isbn","units","source"
1,"A comparative Environmental Life Cycle Assessment of Modern Office Buildings","K J Eaton & A Amato",1998,"The Steel Construction Institute","1859420583",,"http://people.bath.ac.uk/cj219/"
2,"A comparative LCA of building insulation products made of stone wool, paper wool and flax","Anders Schmidt, Allan Jensen et al.",2004,"International Journal of LCA",,,"http://people.bath.ac.uk/cj219/"
3,"A Comparison of the Embodied and operational Environmental impacts of insulation in Office Buildings","Mark Lucuik",2005,"10th Canadian Conference on Building Science and Technology, Ottawa, May 2005",,,"http://people.bath.ac.uk/cj219/"
4,"A decision making matrix with life cycle perspective of materials for roofs in Sri Lanka","U G Yasantha Abeysundra, Sandhya Babel, Shabbir Gheewala",2006,"Materials and Design 2006, article in press, doi:10.1016/j.matdes.2006.09.011",,,"http://people.bath.ac.uk/cj219/"
5,"A life cycle analysis of the environmental impacts of asphalt and concrete roads","Gianni Pontarollo & Tim Smith",2001,"IRF world road congress 2001",,,"http://people.bath.ac.uk/cj219/"
6,"A life cycle assessment and evaluation of construction and demolition waste","Amelia Craighill & Jane Powell",1999,"The Centre for Social and Economic Research on the Global Environment (CSERGE)",,,"http://people.bath.ac.uk/cj219/"
7,"A material flow analysis and an ecological footprint of the southeast region, chapter 3","John Barrett et al",2002,"Taking stock, Biffaward",,,"http://people.bath.ac.uk/cj219/"
8,"Acrylonitrile-Butadiene-Styrene Copolymer (ABS) LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
9,"Acrylonitrile-Butadiene-Styrene Copolymer (ABS) LCI Data Summary in Excel Format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
10,"Aluminium applications and society, paper 1 automotive, expanded summary","International primary aluminium institute",2000,"International primary aluminium institute",,,"http://people.bath.ac.uk/cj219/"
11,"An ecological assessment of the vernacular architecture and of its embodied energy in Yunnan, China","Wang Renping, Cai Zhenyu",2006,"Building and environment 41, 2006, pg 687-697",,,"http://people.bath.ac.uk/cj219/"
12,"An energy life cycle assessment model for building design","Jorn Dinesen & Steen Traberg-Borup",1994,"Danish Building research institute (SBI). Proceedings of the CIB conference on buildings and the environment.",,,"http://people.bath.ac.uk/cj219/"
13,"An environmental comparison of bridge forms","D Collings",2006,"Bridge Engineering, 159, December 2006, Issue BE4, Pg 163-168",,,"http://people.bath.ac.uk/cj219/"
14,"Approved Environmental Profile, Manufacture of 1 tonne Ground Granulated Blastfurnace Slag","BRE Environmental Profiles",2006,"BRE",,,"http://people.bath.ac.uk/cj219/"
15,"Assessing the environmental impact of metal production processes","T E norgate, S Jahanshahi, W J Rankin",2006,"Journal of Cleaner Production 15, 2007, Pg 838-848",,,"http://people.bath.ac.uk/cj219/"
