state=DE&type=total
massSO2PerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),9.854
2005-01-01T00:00:00+00:00 (GMT),7.9972
2007-01-01T00:00:00+00:00 (GMT),7.9888
