state=PA&type=non+baseload
massCO2ePerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),null
2005-01-01T00:00:00+00:00 (GMT),1853.8546913
2007-01-01T00:00:00+00:00 (GMT),1673.5277881
