state=OR&type=total
massSO2PerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),0.538
2005-01-01T00:00:00+00:00 (GMT),0.5223
2007-01-01T00:00:00+00:00 (GMT),0.6331
