state=DC&type=non+baseload
massSO2PerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),9.5
2005-01-01T00:00:00+00:00 (GMT),8.09
2007-01-01T00:00:00+00:00 (GMT),9.9445
