"state","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","stateName","gridRegion","units","source"
"NJ","total",0.7303,0.6809,2.6645,700.0820,23.8859,8.6533,703.2661,,"New Jersey","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NM","total",3.9954,3.9482,1.4828,1789.2792,21.9983,27.3920,1798.2327,,"New Mexico","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NV","total",1.4184,1.3619,0.5321,1162.0481,18.5869,10.0149,1165.5430,,"Nevada","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NY","total",0.7799,0.7410,2.0658,753.2965,26.7414,8.4896,756.4898,,"New York","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OH","total",3.1346,1.6989,12.5443,1807.5769,21.6807,30.4108,1817.4596,,"Ohio","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OK","total",2.4056,2.2496,3.7171,1485.2131,21.6008,18.2141,1491.3130,,"Oklahoma","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"OR","total",0.5125,0.5425,0.6331,410.7953,17.2987,5.0347,412.7193,,"Oregon","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PA","total",1.8062,1.2574,9.3986,1208.0164,23.8802,19.9998,1214.7178,,"Pennsylvania","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"RI","total",0.2363,0.1919,0.0294,908.3798,18.0225,1.8293,909.3253,,"Rhode Island","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"SC","total",0.9529,0.7702,3.4472,907.3550,16.0258,15.4511,912.4814,,"South Carolina","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
