country=Estonia
massCO2PerEnergy
start,value
2000-01-01T00:00:00+00:00 (GMT),1.0023703
2001-01-01T00:00:00+00:00 (GMT),0.984341
2002-01-01T00:00:00+00:00 (GMT),0.9537633
2003-01-01T00:00:00+00:00 (GMT),0.962503
2004-01-01T00:00:00+00:00 (GMT),0.9861416
2005-01-01T00:00:00+00:00 (GMT),0.9518044
2006-01-01T00:00:00+00:00 (GMT),0.9220585
