"type","subtype","replacement","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"General",,,0.750,0.100,0.107,"Cradle to gate","It is strongly recommended to avoid selecting a 'general' value for concrete. Selecting data for a specific concrete type (often a ready mix concrete) will give greater accuracy, please see material profile. Assumed cement content 12% by mass.",,"http://people.bath.ac.uk/cj219/"
"Miscellaneous","Fibre reinforced",,7.750,0.450,,"Cradle to gate","Literature estimate, likely to vary widely. High uncertainty.",,"http://people.bath.ac.uk/cj219/"
"Miscellaneous","Very high GGBS mix",,0.660,0.049,0.050,"Cradle to gate","Data based on Lafarge 'Envirocrete', which is a C28/35 MPa, very high GGBS replacement value concrete",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:1:2 cement:sand:aggregate",,1.280,0.194,0.206,"Cradle to gate","High strength concrete. All of these values were estimated assuming the UK average content of cementitious additions (i.e. fly ash, GGBS) for factory supplied cements in the UK, see Ref. 59, plus the proportions of other constituents.",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:1.5:3 cement:sand:aggregate",,0.990,0.145,0.155,"Cradle to gate","Often used in floor slab, columns and load bearing structure. ",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:2:4 cement:sand:aggregate",,0.820,0.116,0.124,"Cradle to gate","Often used in construction of buildings under 3 storeys.",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:2.5:5 cement:sand:aggregate",,0.710,0.097,0.104,"Cradle to gate"," ",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:3:6 cement:sand:aggregate",,0.630,0.084,0.090,"Cradle to gate","Non-structural mass concrete.",,"http://people.bath.ac.uk/cj219/"
"Nominal proportions","1:4:8 cement:sand:aggregate",,0.540,0.069,0.074,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Standard ready mix","GEN 0 (6/8 MPa)","15% fly ash",0.5150646500,0.0645493249,0.0691621197,"Cradle to gate","Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",,"http://people.bath.ac.uk/cj219/"
