"fuel","version","HVMass","HVVolume","EFNRGCO2","units","source"
"Sub-bituminous coal","IPCC 99",0.018900000000000,,96.000000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub-bituminous coal","EIA",0.018900000000000,,98.412698412698400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood, wood waste","IPCC 99",,,100.440000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","IPCC 99",,0.039000000000000,56.060000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","IPCC 06",,0.034200000000000,56.100000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","IPCC 06, CO2e",,0.034200000000000,59.290000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","EIA, pipeline",,0.038379594048012,50.331753554505400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","EIA, flare gas",,0.038395556608428,55.829383886255900,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","EIA, CNG",,0.034452622673435,56.018957345971600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","DEFRA",,0.038354784751507,51.469194312796200,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","EIA",0.028200000000000,,49.645390070922000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","DEFRA",0.025800000000000,,98.837209302325600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","DEFRA",0.028200000000000,,97.163120567375900,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Australia",0.021227000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Belgium",0.024995000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Brazil",0.025874000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Canada",0.022944000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Denmark",0.024283000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","France",0.026544000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Germany",0.023739000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Hungary",0.019300000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Israel",0.017250000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Japan",0.027758000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Mexico",0.021353000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","New Zealand",0.023781000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Norway",0.028303000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","Russia",0.018573000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal","UK",0.027005000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
