path,versions,aliasedTo
adultsInHousehold,1.0|2.0,
buildingType,1.0|2.0,
childrenInHousehold,1.0|2.0,
country,1.0|2.0,
floorAreaM2,1.0|2.0,
greenTariff,1.0|2.0,
mainHeatingSystem,1.0|2.0,
otherDetails,1.0|2.0,
peopleInHousehold,1.0|2.0,
postcode,1.0|2.0,
profileStatus,1.0|2.0,
profileType,1.0|2.0,
state,1.0|2.0,
