"feedstock","process","region","massCO2PerMass","massCH4PerMass","geographicAdjustmentFactor","units","source"
"other","process only feedstock","eastern europe",1.730,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","supplemental energy only feedstock","eastern europe",0.000,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","supplemental energy only feedstock","eastern europe",0.120,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","supplemental energy only feedstock","eastern europe",0.190,6.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","supplemental energy only feedstock","eastern europe",0.000,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","supplemental energy only feedstock","eastern europe",0.000,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","supplemental energy only feedstock","eastern europe",0.000,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","total feedstock","japan and korea",1.730,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","japan and korea",2.290,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","japan and korea",0.950,6.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","japan and korea",1.040,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","japan and korea",1.070,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","japan and korea",1.730,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","japan and korea",1.730,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","japan and korea",2.170,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","japan and korea",0.760,6.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","process only feedstock","japan and korea",1.040,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","process only feedstock","japan and korea",1.070,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","process only feedstock","japan and korea",1.730,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","supplemental energy only feedstock","japan and korea",0.000,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","supplemental energy only feedstock","japan and korea",0.120,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","supplemental energy only feedstock","japan and korea",0.190,6.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","supplemental energy only feedstock","japan and korea",0.000,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","supplemental energy only feedstock","japan and korea",0.000,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","supplemental energy only feedstock","japan and korea",0.000,3.000,0.900,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","total feedstock","asia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","asia",2.290,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","asia",0.950,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","asia",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","asia",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","asia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","asia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","asia",2.170,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","asia",0.760,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","process only feedstock","asia",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","process only feedstock","asia",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","process only feedstock","asia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","supplemental energy only feedstock","asia",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","supplemental energy only feedstock","asia",0.120,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","supplemental energy only feedstock","asia",0.190,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","supplemental energy only feedstock","asia",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","supplemental energy only feedstock","asia",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","supplemental energy only feedstock","asia",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","total feedstock","africa",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","africa",2.290,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","africa",0.950,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","africa",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","africa",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","africa",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","africa",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","africa",2.170,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","africa",0.760,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","process only feedstock","africa",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","process only feedstock","africa",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","process only feedstock","africa",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","supplemental energy only feedstock","africa",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","supplemental energy only feedstock","africa",0.120,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","supplemental energy only feedstock","africa",0.190,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","supplemental energy only feedstock","africa",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","supplemental energy only feedstock","africa",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","supplemental energy only feedstock","africa",0.000,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","total feedstock","russia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","russia",2.290,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","russia",0.950,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","russia",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","russia",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","russia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","russia",1.730,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","russia",2.170,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","russia",0.760,6.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","process only feedstock","russia",1.040,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","process only feedstock","russia",1.070,3.000,1.300,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
