"type","subtype","defaultCarbonContent","units","source"
"natural gas liquids","C6 plus",84.04,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"natural gasoline",,83.70,,"http://www.api.org/ehs/climate/response/index.cfm"
"oxygenates","DIPE",70.60,,"http://www.api.org/ehs/climate/response/index.cfm"
"oxygenates","TAME",70.50,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"oxygenates","methanol",37.50,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"oxygenates","MTBE",68.20,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"oxygenates","ETBE",70.50,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"oxygenates","GTBA",64.90,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"oxygenates","t-butanol",64.90,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"pentanes plus",,83.70,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"petrochemical feedstocks",,84.11,,"http://www.api.org/ehs/climate/response/index.cfm"
"petroleum coke",,92.28,,"http://www.api.org/ehs/climate/response/index.cfm"
"petroleum waxes",,85.29,,"http://www.api.org/ehs/climate/response/index.cfm"
"natural gas","processed",76.00,,"http://www.api.org/ehs/climate/response/index.cfm"
"propane",,81.80,,"http://www.api.org/ehs/climate/response/index.cfm"
"propylene",,85.71,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"residual oil #5",,88.70,,"http://www.api.org/ehs/climate/response/index.cfm"
"residual oil #6",,85.68,,"http://www.api.org/ehs/climate/response/index.cfm"
"still gas",,24.40,,"http://www.api.org/ehs/climate/response/index.cfm"
"unfinished oils","heavy gas oils",85.80,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"unfinished oils","kerosenes",85.80,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"unfinished oils","naphthas",85.70,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"unfinished oils","residuum",85.70,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"unfinished oils","general",85.49,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"waste feedstocks",,85.71,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"biomass","animal fat",76.19,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"biomass","vegetable oil",76.77,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
