"type","fuel","emissionStandard","massCH4PerDistance","massN2OPerDistance","distancePerVolume","massCO2PerDistance","massBiogenicCO2PerDistance","massCH4PerVolume","massN2OPerVolume","units","source"
"bus","ethanol",,0.197,0.175,5,,1.112,0.985,0.875,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","diesel",,0.0051,0.0048,3.7,2.74324324324324,,0.01887,0.01776,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","gasoline",,0.021,0.017,5,1.762,,0.105,0.085,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline","1984-1993",0.0704,0.0647,22.5,0.391555555555556,,1.584,1.45575,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1994,0.0531,0.056,22.5,0.391555555555556,,1.19475,1.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1995,0.0358,0.0473,22.5,0.391555555555556,,0.8055,1.06425,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1996,0.0272,0.0426,22.5,0.391555555555556,,0.612,0.9585,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1997,0.0268,0.0422,22.5,0.391555555555556,,0.603,0.9495,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1998,0.0249,0.0393,22.5,0.391555555555556,,0.56025,0.88425,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1999,0.0216,0.0337,22.5,0.391555555555556,,0.486,0.75825,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2000,0.0178,0.0273,22.5,0.391555555555556,,0.4005,0.61425,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2001,0.011,0.0158,22.5,0.391555555555556,,0.2475,0.3555,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2002,0.0107,0.0153,22.5,0.391555555555556,,0.24075,0.34425,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2003,0.0114,0.0135,22.5,0.391555555555556,,0.2565,0.30375,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2004,0.0145,0.0083,22.5,0.391555555555556,,0.32625,0.18675,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline","2005-present",0.0147,0.0079,22.5,0.391555555555556,,0.33075,0.17775,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","1960-1982",0.0006,0.0012,22.5,0.451111111111111,,0.0135,0.027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","1983-present",0.0005,0.001,22.5,0.451111111111111,,0.01125,0.0225,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg",,0.037,0.067,16.2,0.357407407407407,,0.5994,1.0854,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","ethanol",,0.055,0.067,16.2,,0.34320987654321,0.891,1.0854,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline","1987-1993",0.0813,0.1035,16.2,0.543827160493827,,1.31706,1.6767,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1994,0.0646,0.0982,16.2,0.543827160493827,,1.04652,1.59084,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1995,0.0517,0.0908,16.2,0.543827160493827,,0.83754,1.47096,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1996,0.0452,0.0871,16.2,0.543827160493827,,0.73224,1.41102,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1997,0.0452,0.0871,16.2,0.543827160493827,,0.73224,1.41102,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1998,0.0391,0.0728,16.2,0.543827160493827,,0.63342,1.17936,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1999,0.0321,0.0564,16.2,0.543827160493827,,0.52002,0.91368,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2000,0.0346,0.0621,16.2,0.543827160493827,,0.56052,1.00602,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2001,0.0151,0.0164,16.2,0.543827160493827,,0.24462,0.26568,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2002,0.0178,0.0228,16.2,0.543827160493827,,0.28836,0.36936,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2003,0.0155,0.0114,16.2,0.543827160493827,,0.2511,0.18468,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2004,0.0152,0.0132,16.2,0.543827160493827,,0.24624,0.21384,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline","2005-present",0.0157,0.0101,16.2,0.543827160493827,,0.25434,0.16362,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1960-1982",0.0011,0.0017,16.2,0.626543209876543,,0.01782,0.02754,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1983-1995",0.0009,0.0014,16.2,0.626543209876543,,0.01458,0.02268,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1996-present",0.001,0.0015,16.2,0.626543209876543,,0.0162,0.0243,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1985-1986",0.409,0.0515,8.8,1.00113636363636,,3.5992,0.4532,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1987,0.3675,0.0849,8.8,1.00113636363636,,3.234,0.74712,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1988-1989",0.3492,0.0933,8.8,1.00113636363636,,3.07296,0.82104,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1990-1995",0.3246,0.1142,8.8,1.00113636363636,,2.85648,1.00496,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1996,0.1278,0.168,8.8,1.00113636363636,,1.12464,1.4784,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1997,0.0924,0.1726,8.8,1.00113636363636,,0.81312,1.51888,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1998,0.0641,0.1693,8.8,1.00113636363636,,0.56408,1.48984,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1999,0.0578,0.1435,8.8,1.00113636363636,,0.50864,1.2628,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2000,0.0493,0.1092,8.8,1.00113636363636,,0.43384,0.96096,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2001,0.0528,0.1235,8.8,1.00113636363636,,0.46464,1.0868,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2002,0.0546,0.1307,8.8,1.00113636363636,,0.48048,1.15016,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2003,0.0533,0.124,8.8,1.00113636363636,,0.46904,1.0912,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2004,0.0341,0.0285,8.8,1.00113636363636,,0.30008,0.2508,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","2005-present",0.0326,0.0177,8.8,1.00113636363636,,0.28688,0.15576,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
