label,type,unit,per_unit,default
CO2,DECIMAL,kg,,false
bioCO2,DECIMAL,kg,,false
CH4,DECIMAL,kg,,false
N2O,DECIMAL,kg,,false
CO2e,DECIMAL,kg,,true
comment,TEXT,,,false
