type,kgPerPersonPerYear,kgCO2LandfillSavedPerKg,kgCO2RecyclingSavedPerKg,kgCO2ThermalSavedPerKg,kgCO2EmbodiedFossilEnergySavedPerKg,units,source,algorithm,default
general household,509,0.257,-0.461,0.025,-2.408,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
garden,101.8,0.135,0.057,-0.121,-0.089,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
paper and card,91.62,0.687,-0.713,-0.093,-2.556,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
kitchen,86.53,0.258,0.035,-0.089,-2.428,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
glass,35.63,0.01,-0.574,0.045,-1.406,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
wood furniture,25.45,0.298,-0.005,-0.577,-0.256,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
dense plastics,20.36,0.01,-1.012,1.139,-12.778,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
soil,15.27,0.01,0.016,0.035,-0.004,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
plastic film,15.27,0.01,-0.782,1.012,-10.222,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
textiles,15.27,0.233,-1.284,0.245,-19.294,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
white goods,25.45,0.01,-1.34,-0.786,-1.917,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
household sweepings,45.81,0.257,-0.461,0.025,0,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
metal cans and foil,15.27,0.01,-11.026,0.023,-16.1,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
disposable nappies,10.18,0.257,-0.461,0.025,-2.408,kgCO2e/kg,http://www.defra.gov.uk/news/2007/071106a.htm http://www.defra.gov.uk/environment/statistics/waste/kf/wrkf18.htm http://www.defra.gov.uk/environment/waste/strategy/strategy07/pdf/waste07-annex-a.pdf,,
