"plant","prodProcess","fuel","defCarbonContent","defFuelQuantity","units","source"
"Modern Plants: Europe","Conventional Reforming","Crude oil",20.0000,0.0302,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Orimulsion",21.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Natural gas liquids",17.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Motor gasoline",18.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Aviation gasoline",19.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Jet Gasoline",19.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Jet Kerosene",19.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Other Kerosene",19.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Shale oil",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Gas/diesel oil",20.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Residual fuel oil",21.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Liquified Petroleum Gases (LPG)",17.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Ethane",16.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Naptha",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Bitumen",22.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Lubricants",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Petroleum coke",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Refinery feedstocks",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Refinery gas",15.7000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Paraffin waxes",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","White spirit and SBP",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Other petroleum products",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Anthracite",26.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Coking coal",25.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Other bituminous coal",25.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Sub-bituminous coal",26.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Lignite",27.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Oil shale and tar sands",29.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Brown coal briquettes",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Patent fuel",26.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Coke oven coke and Lignite coke",29.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Gas coke",29.2000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Coal tar",22.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Gas works gas",12.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Coke oven gas ",12.1000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Blast furnace gas",70.8000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Oxygen steel furnace gas",49.6000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Natural gas ",15.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Municipal wastes (non-biomass fraction)",25.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Waste oils",20.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Peat",28.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Wood/ wood waste",30.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Sulphite lyes (black liquor)",26.0000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Other primary solid biomass",27.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Charcoal",30.5000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Biogasoline",19.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Biodiesels",19.3000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Other liquid biofuels",21.7000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Landfill gas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Modern Plants: Europe","Conventional Reforming","Sludge gas",14.9000,0.0302,"%w/w","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
