state,type,fuel,numberOfBedrooms,kWhPerYearSpace,kWhPerYearWater,kWhPerYearAirCon,units,source
georgia,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maryland,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
north carolina,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
south carolina,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
virginia,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
west virginia,apartment,natural gas,2,6806,5905,1937,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
delaware,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
district of columbia,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
georgia,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maryland,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
north carolina,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
south carolina,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
virginia,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
west virginia,apartment,electricity,0 or 1,1356,1244,1898,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
delaware,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
district of columbia,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
georgia,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maryland,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
north carolina,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
south carolina,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
virginia,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
west virginia,apartment,electricity,2,1823,2056,2564,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
delaware,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
district of columbia,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
georgia,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maryland,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
north carolina,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
south carolina,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
virginia,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
west virginia,apartment,electricity,3,2872,3050,3376,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,natural gas,2,12613,4804,2448,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,natural gas,2,12613,4804,2448,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,natural gas,2,12613,4804,2448,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,natural gas,2,12613,4804,2448,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,natural gas,3,15104,5956,3203,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,natural gas,3,15104,5956,3203,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,natural gas,3,15104,5956,3203,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,natural gas,3,15104,5956,3203,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,natural gas,4 or more,19051,7589,4455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,natural gas,4 or more,19051,7589,4455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,natural gas,4 or more,19051,7589,4455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,natural gas,4 or more,19051,7589,4455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,electricity,2,4074,2430,2182,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,electricity,2,4074,2430,2182,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,electricity,2,4074,2430,2182,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,electricity,2,4074,2430,2182,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,electricity,3,4584,3000,2838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,electricity,3,4584,3000,2838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,electricity,3,4584,3000,2838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,electricity,3,4584,3000,2838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,detached,electricity,4 or more,6696,3432,4534,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,detached,electricity,4 or more,6696,3432,4534,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,detached,electricity,4 or more,6696,3432,4534,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,detached,electricity,4 or more,6696,3432,4534,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,apartment,natural gas,0 or 1,4609,2109,1244,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,apartment,natural gas,0 or 1,4609,2109,1244,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,apartment,natural gas,0 or 1,4609,2109,1244,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,apartment,natural gas,0 or 1,4609,2109,1244,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,apartment,natural gas,2,10418,3472,2116,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,apartment,natural gas,2,10418,3472,2116,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,apartment,natural gas,2,10418,3472,2116,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,apartment,natural gas,2,10418,3472,2116,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,apartment,electricity,0 or 1,2312,1776,1599,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,apartment,electricity,0 or 1,2312,1776,1599,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,apartment,electricity,0 or 1,2312,1776,1599,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,apartment,electricity,0 or 1,2312,1776,1599,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
alabama,apartment,electricity,2,2933,2545,2871,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
kentucky,apartment,electricity,2,2933,2545,2871,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
mississippi,apartment,electricity,2,2933,2545,2871,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
tennessee,apartment,electricity,2,2933,2545,2871,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,natural gas,2,10751,4929,2431,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,natural gas,2,10751,4929,2431,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,natural gas,2,10751,4929,2431,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,natural gas,3,12883,6122,3669,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,natural gas,3,12883,6122,3669,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,natural gas,3,12883,6122,3669,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,natural gas,4 or more,12883,7730,7177,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,natural gas,4 or more,12883,7730,7177,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,natural gas,4 or more,12883,7730,7177,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,electricity,2,3603,2803,3042,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,electricity,2,3603,2803,3042,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,electricity,2,3603,2803,3042,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,electricity,3,3603,2803,4261,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,electricity,3,3603,2803,4261,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,electricity,3,3603,2803,4261,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,detached,electricity,4 or more,4629,4626,6418,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,detached,electricity,4 or more,4629,4626,6418,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,detached,electricity,4 or more,4629,4626,6418,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,apartment,natural gas,0 or 1,5784,3269,1363,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,apartment,natural gas,0 or 1,5784,3269,1363,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,apartment,natural gas,0 or 1,5784,3269,1363,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,apartment,electricity,0 or 1,1676,1599,2068,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,apartment,electricity,0 or 1,1676,1599,2068,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,apartment,electricity,0 or 1,1676,1599,2068,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arkansas,apartment,electricity,2,2198,1831,2723,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
louisiana,apartment,electricity,2,2198,1831,2723,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oklahoma,apartment,electricity,2,2198,1831,2723,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,natural gas,0 or 1,15299,4141,233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,natural gas,2,15854,4935,1155.5,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,natural gas,3,16409,6110,2078,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,natural gas,4 or more,21677,6644,3162,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,electricity,2,3220,1319,3181,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,electricity,3,4242,3494,4264,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,detached,electricity,4 or more,4242,3633,8949,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,attached,natural gas,2,16003,6331,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,attached,natural gas,3,16003,7070,623,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,attached,electricity,2,2700,1606,2077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,apartment,natural gas,0 or 1,7147,2885,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,apartment,natural gas,2,11687,3938,2436,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,apartment,electricity,0 or 1,1387,1327,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
arizona,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
colorado,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
idaho,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
montana,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
nevada,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new mexico,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
utah,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wyoming,apartment,electricity,2,1944,2095,4260,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,natural gas,0 or 1,6944,4324,330,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,natural gas,0 or 1,6944,4324,330,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,natural gas,2,8265,5619,771,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,natural gas,2,8265,5619,771,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,natural gas,3,9911,5951,848,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,natural gas,3,9911,5951,848,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,natural gas,4 or more,13543,6253,1743,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,natural gas,4 or more,13543,6253,1743,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
oregon,detached,fuel oil,3,12771,7157,459,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
washington,detached,fuel oil,3,12771,7157,459,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
