"fuel","technology","massN2OPerDistance","massN2OPerStart","massCH4PerDistance","massCH4PerStart","units","source"
"unknown","non-oxidation catalyst",3.00,12.00,40.00,24.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"unknown","uncontrolled",4.00,12.00,53.00,33.00,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
