country=France
massCO2PerEnergy
start,value
2000-01-01T00:00:00+00:00 (GMT),0.08283
2001-01-01T00:00:00+00:00 (GMT),0.07075
2002-01-01T00:00:00+00:00 (GMT),0.07635
2003-01-01T00:00:00+00:00 (GMT),0.08047
2004-01-01T00:00:00+00:00 (GMT),0.0781
2005-01-01T00:00:00+00:00 (GMT),0.09165
2006-01-01T00:00:00+00:00 (GMT),0.08495
