type,kgCO2PerPassengerMile,gCH4PerPassengerMile,gN2OPerPassengerMile,units,source
local bus,0.107,0.0006,0.0005,none,http://www.ghgprotocol.org/calculation-tools/all-tools
coach,0.107,0.0006,0.0005,none,http://www.ghgprotocol.org/calculation-tools/all-tools
