"aircraft","massFuelTakeOff","massFuelClimbOut","massFuelApproach","massFuelTaxi","massFuelCruise232km","massFuelCruise463km","massFuelCruise926km","massFuelCruise1389km","massFuelCruise1852km","massFuelCruise2778km","massFuelCruise3704km","massFuelCruise4630km","massFuelCruise5556km","massFuelCruise6482km","massFuelCruise7408km","massFuelCruise8334km","massFuelCruise9260km","massFuelCruise10186km","massFuelCruise11112km","massFuelCruise12038km","IATACode","ICAOCode","representativeAircraft","units","source"
"Fokker F28 Fellowship [F28]",60.8,155.7,106.4,343,691.38,1223.18,2318.39,3319.67,4508.81,6652.85,,,,,,,,,,,"F28","F28","Fokker F-28",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Ilyushin IL62 [IL6]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"IL6","IL62","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Ilyushin IL76 [IL7]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"IL7","IL76","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Ilyushin IL86 [ILW]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"ILW","IL86","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[JET]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"JET",,"Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Lockheed L-1011 Tristar [L10]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"L10","L101","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Lockheed L-1011-1/50/100/150/200/250 Tristar [L11]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"L11","L101","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Lockheed L-1011 [L12]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"L12","L101","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Lockheed L-1011-500 Tristar [L15]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"L15","L101","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD11 [M11]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"M11","MD11","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD11 Freighter [M1F]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"M1F","MD11","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD80 [M80]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M80","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD81 [M81]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M81","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD82 [M82]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M82","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD83 [M83]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M83","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD87 [M87]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M87","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD88 [M88]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M88","MD80","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"McDonnell Douglas MD90 [M90]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,"M90","MD90","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[TR2]",144.3,370.7,226.3,511.6,1169.89,2157.17,3817.35,5471.43,7137.71,10592.75,14154.02,17772.89,,,,,,,,,"TR2",,"Boeing 757",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[TRD]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"TRD",,"Boeing 727-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Tupolev Tu134 [TU3]",60.8,155.7,106.4,343,691.38,1223.18,2318.39,3319.67,4508.81,6652.85,,,,,,,,,,,"TU3","T134","Fokker F28 Fellowship",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Tupolev Tu154 [TU5]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,"TU5","T154","Boeing 727",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[VCX]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"VCX",,"Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Yakovlev Yak 42 [YK2]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"YK2","YK42","McDonnell Douglas DC9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Yakovlev Yak 40 [YK4]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"YK4","YK40","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
