"aircraft","massFuelTakeOff","massFuelClimbOut","massFuelApproach","massFuelTaxi","massFuelCruise232km","massFuelCruise463km","massFuelCruise926km","massFuelCruise1389km","massFuelCruise1852km","massFuelCruise2778km","massFuelCruise3704km","massFuelCruise4630km","massFuelCruise5556km","massFuelCruise6482km","massFuelCruise7408km","massFuelCruise8334km","massFuelCruise9260km","massFuelCruise10186km","massFuelCruise11112km","massFuelCruise12038km","IATACode","ICAOCode","representativeAircraft","units","source"
"Airbus A330 [330]",268.8,681.1,408,873.6,1862.14,3630.91,6383.93,9128.45,11889.98,17558.93,23402.69,29483.27,35812,42080.42,48774.17,,,,,,330,"A330","Airbus A330",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A330-200 [332]",268.8,681.1,408,873.6,1862.14,3630.91,6383.93,9128.45,11889.98,17558.93,23402.69,29483.27,35812,42080.42,48774.17,,,,,,332,"A330","Airbus A330",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A330-300 [333]",268.8,681.1,408,873.6,1862.14,3630.91,6383.93,9128.45,11889.98,17558.93,23402.69,29483.27,35812,42080.42,48774.17,,,,,,333,"A330","Airbus A330",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A340 [340]",244.6,631,370.6,773.8,1813.02,3649.2,6462.49,9290.97,12181.32,18113.29,24259.91,30675.65,37094.94,43853.97,50875.29,58059.47,65649.8,73548.4,81672.1,,340,"A340","Airbus A340",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A340-200 [342]",244.6,631,370.6,773.8,1813.02,3649.2,6462.49,9290.97,12181.32,18113.29,24259.91,30675.65,37094.94,43853.97,50875.29,58059.47,65649.8,73548.4,81672.1,,342,"A340","Airbus A340",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A340-300 [343]",244.6,631,370.6,773.8,1813.02,3649.2,6462.49,9290.97,12181.32,18113.29,24259.91,30675.65,37094.94,43853.97,50875.29,58059.47,65649.8,73548.4,81672.1,,343,"A340","Airbus A340",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 707-436 [707]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,707,"B707","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 717-200 [717]",111.6,284.4,183.2,423.8,1099.84,2107.94,3560.86,4910.04,6466.71,9520.26,12735.64,,,,,,,,,,717,"B712","McDonnell Douglas MD82",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727-100 [721]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,721,"B721","Boeing 727-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727-200 [722]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,722,"B722","Boeing 727-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 727 [727]",145.1,365.9,236.5,665.4,1303.94,2341.83,4247.33,6080.39,8058.32,12131.41,16459.43,20825.23,,,,,,,,,727,"B721","Boeing 727-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-112 [731]",94.1,238.3,153.4,434,880.29,1575.57,2807.39,4030.02,5271.03,7802.09,10518.33,,,,,,,,,,731,"B731","Boeing 737-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-200 [732]",94.1,238.3,153.4,434,880.29,1575.57,2807.39,4030.02,5271.03,7802.09,10518.33,,,,,,,,,,732,"B732","Boeing 737-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-301 [733]",94.1,238.3,153.4,434,880.29,1575.57,2807.39,4030.02,5271.03,7802.09,10518.33,,,,,,,,,,733,"B733","Boeing 737-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-400 [734]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,734,"B734","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-505 [735]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,735,"B735","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-600 [736]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,736,"B736","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737 [737]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,737,"B731","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747-100 [741]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,741,"B741","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747-200 [742]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,742,"B742","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747-300 [743]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,743,"B743","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
