"region","livestockType","managementType","managementSubtype","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"middle east","camel","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","aerobic treatment","forced aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","aerobic treatment","forced aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","aerobic treatment","forced aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","aerobic treatment","forced aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","camel","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","aerobic treatment","natural aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","camel","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","camel","aerobic treatment","natural aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","camel","aerobic treatment","natural aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","aerobic treatment","natural aeration",0.38,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","camel","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","camel","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","camel","anaerobic digester","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","camel","anaerobic digester","-",0.38,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
