type,subType,emissionSource,geographicContext,value,massCH4PerVolume,massN2OPerVolume,massCO2PerVolume,units,source
oil transport,pipeline,-,developing countries,,0.005400000,,0.000490000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
oil transport,pipeline,-,developed countries,,0.005400000,,0.000490000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
oil transport,tanker trucks and rail cars,-,developed countries,,0.025000000,,0.002300000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
oil transport,tanker trucks and rail cars,-,developing countries,,0.025000000,,0.002300000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well drilling,-,-,developing countries,mean,0.296500000,,0.900000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well drilling,-,-,developing countries,upper,0.560000000,,1.700000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well drilling,-,-,developed countries,,0.033000000,,0.100000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well drilling,-,-,developing countries,lower,0.033000000,,0.100000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well servicing,-,-,developing countries,upper,1.800000000,,0.032000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well servicing,-,-,developing countries,lower,0.110000000,,0.001900000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well servicing,-,-,developing countries,mean,0.955000000,,0.016950000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well servicing,-,-,developed countries,,0.110000000,,0.001900000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well testing,-,-,developed countries,,0.051000000,0.000068000,9.000000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well testing,-,-,developing countries,lower,0.051000000,0.000068000,9.000000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well testing,-,-,developing countries,upper,0.850000000,0.001100000,150.000000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
well testing,-,-,developing countries,mean,0.450500000,0.000584000,79.500000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
