"type","subtype","energyPerVolume","massCO2PerEnergy","units","source"
"distillate fuel oil","no. 1",5.8250,73.15,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"distillate fuel oil","no. 2",5.8250,73.15,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"distillate fuel oil","no. 4",5.8250,73.15,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"lpg (average mix)",,3.8492,63.16,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"lpg components","ethane",2.9160,59.58,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"lpg components","isobutane",4.1620,65.08,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"lpg components","n-butane",4.3280,64.97,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"lpg components","propane",3.8240,63.07,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"kerosene",,5.6700,72.31,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"petroleum coke",,6.0240,102.12,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"residual fuel oil","no. 5",6.2870,78.8,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"residual fuel oil","no. 6",6.2870,78.8,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
