country,ghgProgramme,efficiencyPowerProd,efficiencySteamProd,units,source
US,Climate Leaders EPA,0.35,0.8,,http://www.ghgprotocol.org/calculation-tools/all-tools
UK,Emissions Trading Scheme DEFRA,0.33,0.66,,http://www.ghgprotocol.org/calculation-tools/all-tools
