"vehicleType","fuelType","kgCO2PerMile",units,source
rigid,ethanol,0.6318182,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
articulated,ethanol,0.9423729,none,GHGP http://www.ghgprotocol.org/calculation-tools/all-tools
