region,massTotalCarbonPerMass,massOrganicCarbonPerMass,massInorganicCarbonPerMass,units,source
central florida,1.60,0.60,1.00,,http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Phosphoric%20-%20_EPA%202-18-09.pdf
north florida,1.76,0.83,0.93,,http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Phosphoric%20-%20_EPA%202-18-09.pdf
north carolina (calcined),0.76,0.35,0.41,,http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Phosphoric%20-%20_EPA%202-18-09.pdf
idaho (calcined),0.60,,0.27,,http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Phosphoric%20-%20_EPA%202-18-09.pdf
morocco,1.56,0.10,1.46,,http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Phosphoric%20-%20_EPA%202-18-09.pdf
other,,,,,none
