"type","fuel","kgCO2PerKm","kgCO2ePerKmForCH4","kgCO2ePerKmForN2O","units","source"
"mini","petrol",0.16419,0.00031,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"supermini","petrol",0.17382,0.00031,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lower medium","petrol",0.20335,0.00030,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"upper medium","petrol",0.23050,0.00030,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"executive","petrol",0.27368,0.00028,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"luxury","petrol",0.34729,0.00028,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"sports","petrol",0.25536,0.00028,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"duel purpose 4x4","petrol",0.29099,0.00028,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"mpv","petrol",0.23836,0.00030,0.00184,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"mini","diesel",0.09851,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"supermini","diesel",0.14677,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lower medium","diesel",0.16774,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"upper medium","diesel",0.18236,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"executive","diesel",0.21739,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"luxury","diesel",0.25440,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"sports","diesel",0.18732,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"duel purpose 4x4","diesel",0.27451,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"mpv","diesel",0.21018,0.00008,0.00174,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"mini","unknown",0.16385,0.00028,0.00183,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"supermini","unknown",0.17122,0.00028,0.00183,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lower medium","unknown",0.19351,0.00027,0.00183,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"upper medium","unknown",0.21098,0.00023,0.00181,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"executive","unknown",0.25097,0.00019,0.00179,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"luxury","unknown",0.32763,0.00019,0.00179,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"sports","unknown",0.25437,0.00019,0.00179,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"duel purpose 4x4","unknown",0.28151,0.00019,0.00179,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"mpv","unknown",0.22404,0.00023,0.00181,"kgCO2e/km","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
