"area","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","gridRegion","units","source"
"New Harquahala Generating Company","non baseload",0.0529,0.0503,0.0043,843.6523,16.5383,1.6538,844.5123,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"New Smyrna Beach Utilities Commission of","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"New York ISO","non baseload",1.2353,1.1422,3.0052,1330.9654,36.2410,10.2082,1334.8910,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"North Little Rock AR City of","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Northern Indiana Public Service Company","non baseload",3.5102,2.1757,5.7070,2059.6448,25.6954,30.9494,2069.7787,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Northern States Power","non baseload",5.2611,5.5513,4.4745,1824.8298,87.6846,29.7807,1835.9032,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"NorthWestern Corporation","non baseload",10.4481,4.9701,1.6593,2178.6522,28.0453,32.8944,2189.4384,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Ohio Valley Electric Corporation","non baseload",4.4548,1.8520,16.4825,1981.9548,22.5046,33.7087,1992.8771,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Oklahoma Gas and Electric","non baseload",2.4126,2.2919,2.4038,1542.3720,23.6764,14.9401,1547.5006,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Omaha Public Power District","non baseload",3.2093,2.8834,6.8048,2033.6368,24.6471,32.0383,2044.0863,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Otter Tail Power Company","non baseload",8.2425,7.9457,9.2909,2319.6676,30.5122,37.9282,2332.0661,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PacifiCorp","non baseload",2.5579,2.8374,1.3310,1469.1605,37.1283,19.3296,1475.9324,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PJM Interconnection","non baseload",2.6519,1.8897,9.7940,1756.2652,31.7553,25.7073,1764.9013,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Portland General Electric","non baseload",0.6251,0.9811,0.1566,862.5405,68.6348,8.5907,866.6449,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PowerSouth Energy Cooperative","non baseload",1.1862,0.1508,1.7068,1165.4932,19.0743,9.1761,1168.7384,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Progress Energy Carolinas","non baseload",2.2107,2.1183,7.6341,1794.3345,31.3211,27.6346,1803.5590,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Progress Energy Florida","non baseload",1.9700,1.7664,5.3314,1394.7340,58.6618,13.6853,1400.2083,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Public Service Company of Colorado","non baseload",1.7855,1.8124,1.5449,1544.7401,23.1039,16.2766,1550.2710,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Public Service Company of New Mexico","non baseload",2.4267,1.9433,1.4126,1519.6087,21.1165,18.9333,1525.9215,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PUD No. 1 of Chelan County","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PUD No. 1 of Douglas County","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"PUD No. 2 of Grant County","non baseload",29.2560,0.0000,2.3856,1956.5384,83.7600,16.8000,1963.5054,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Puget Sound Energy","non baseload",1.5610,1.5714,1.6780,903.2978,90.4397,11.5438,908.7756,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Sacramento Municipal Utility District","non baseload",0.1636,0.1627,0.0065,1014.5188,19.5190,1.9519,1015.5338,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Salt River Project","non baseload",0.2185,0.3708,0.0045,878.1432,17.2160,1.7216,879.0384,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Seattle City Light","non baseload",0.8567,0.8549,0.0344,546.7077,11.2433,1.1893,547.3125,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Seminole Electric Cooperative","non baseload",1.8351,0.4271,1.8270,1387.7301,19.8825,16.0297,1393.1168,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Sierra Pacific Power Company","non baseload",3.8951,3.7001,0.9974,1421.4641,32.8942,11.4484,1425.7039,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"South Carolina Electric & Gas Company","non baseload",1.8584,1.1408,8.3186,1482.6416,30.1554,20.7863,1489.7186,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"South Carolina Public Service Authority","non baseload",2.5367,2.1087,10.5949,1914.0117,31.5597,29.6484,1923.8655,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"South Mississippi Electric Power Assn","non baseload",4.2260,2.7754,2.8885,1888.6705,29.1238,18.1303,1894.9025,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southeastern Power Administration","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southern Company Services","non baseload",2.1903,1.8112,8.6427,1557.0320,28.7001,21.9871,1564.4507,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southern Illinois Power Cooperative","non baseload",5.2961,1.5034,5.4975,3050.8821,33.8074,50.1684,3067.1443,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southern Indiana Gas & Electric Co","non baseload",3.3066,2.0460,14.8355,2329.8148,26.6419,39.3431,2342.5706,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southern Minnesota Municipal Power Agcy","non baseload",3.3039,3.3208,10.5491,1635.1727,33.2877,23.2068,1643.0658,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southwestern Power Administration","non baseload",3.2315,3.2207,5.1186,1936.3843,22.5339,32.1470,1946.8231,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Southwestern Public Service Co","non baseload",1.4521,1.4453,0.8288,1377.6353,24.2422,7.7624,1380.5507,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Springfield IL - CWLP City of","non baseload",6.3736,2.9928,17.3444,2632.5565,30.5000,44.8369,2647.0964,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Sunflower Electric Power Corporation","non baseload",2.6633,2.8294,0.0147,1380.9344,27.2016,2.7380,1382.3544,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Tacoma Power","non baseload",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Tallahassee City of","non baseload",1.1912,1.3504,0.6554,1211.2778,23.1629,2.3168,1212.4824,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Tampa Electric Company","non baseload",2.2991,2.3040,0.9575,1516.6977,22.4396,17.3889,1522.5595,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Tennessee Valley Authority","non baseload",2.9190,1.7019,6.0178,1833.7501,25.9579,27.9760,1842.9678,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Tucson Electric Power","non baseload",2.8230,2.7779,2.9462,2840.2345,33.3012,46.6061,2855.3817,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Turlock Irrigation District","non baseload",0.0736,0.0849,0.0052,1014.7766,19.8941,1.9894,1015.8111,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Union Power Partners","non baseload",0.1370,0.1316,0.0046,914.6784,17.9309,1.7931,915.6108,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Upper Peninsula Power Company","non baseload",4.9113,4.6891,8.7790,2176.6958,71.1010,45.1433,2192.1833,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WAPA - Desert Southwest Region","non baseload",2.1867,2.1431,0.7012,1499.9588,21.5828,17.2860,1505.7707,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WAPA - Rocky Mountain Region","non baseload",2.0532,2.1363,2.0978,1601.3187,23.4953,17.3087,1607.1778,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"WAPA - Upper Great Plains East","non baseload",3.7161,4.0039,11.7737,2225.8227,25.3459,28.8869,2235.3099,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Westar Energy","non baseload",3.8010,3.8246,2.3638,2046.7770,29.0634,24.5000,2054.9823,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Western Farmers Electric Cooperative","non baseload",1.5785,1.4906,1.0041,1335.5855,23.6578,7.7981,1338.4997,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Wisconsin Energy Corporation","non baseload",1.7198,1.7962,3.4986,1744.8210,24.1821,24.3862,1752.8885,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Wisconsin Public Service Corporation","non baseload",4.4103,4.2569,7.7570,2098.6894,39.7455,36.4902,2110.8360,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
