"type","subtype","subsubtype","embodiedEnergyPerMass","massEmbodiedCO2PerMass","massEmbodiedCO2PerMassSteelPerVolume","boundary","units","source"
"alternative concrete mixes","RC 25","50% fly ash",0.67,0.079,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 25","25% ground granulated blast furnace slag",0.88,0.11,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 25","50% ground granulated blast furnace slag",0.76,0.083,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 30","100% portland cement",1.08,0.153,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 30","25% fly ash",0.9,0.12,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 30","50% fly ash",0.72,0.087,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 30","25% ground granulated blast furnace slag",0.95,0.122,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 30","50% ground granulated blast furnace slag",0.82,0.092,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 35","100% portland cement",1.13,0.161,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 35","25% fly ash",0.94,0.126,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 35","50% fly ash",0.74,0.091,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 35","25% ground granulated blast furnace slag",0.99,0.129,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 35","50% ground granulated blast furnace slag",0.85,0.096,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 40","100% portland cement",1.17,0.169,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
"alternative concrete mixes","RC 40","25% fly ash",0.97,0.132,0.00072,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied/"
