region=RFC&type=total
massOzoneSeasonNOxPerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),1.667
2005-01-01T00:00:00+00:00 (GMT),1.418
2007-01-01T00:00:00+00:00 (GMT),1.4241
