region=RFC&type=total
massNOxPerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),2.481
2005-01-01T00:00:00+00:00 (GMT),2.288
2007-01-01T00:00:00+00:00 (GMT),2.2142
