region=MRO&type=total
massOzoneSeasonNOxPerEnergy
start,value
2004-01-01T00:00:00+00:00 (GMT),3.578
2005-01-01T00:00:00+00:00 (GMT),3.4122
2007-01-01T00:00:00+00:00 (GMT),2.9147
