"productType","brand","modelName","modelNumber","category","energyPerTime","units","source"
"Desktop","HP","Compaq dc5800 Microtower PC ENERGY STAR","dc5800 MT","B",185.2,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc5800 Microtower PC ENERGY STAR","dc5800 MT","C",186.2,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc5800 Microtower PC ENERGY STAR","dc5800 MT","D",200.2,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc5800 Small Form Factor PC ENERGY STAR","dc5800 SFF","B",187.6,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc5800 Small Form Factor PC ENERGY STAR","dc5800 SFF","D",199.7,"kWh/year","www.energystar.gov"
"Desktop","Dell","Studio Hybrid","140g","B",94.6,"kWh/year","www.energystar.gov"
"Integrated Computers","HP","TouchSmart IQ800  PC series","IQ830 - IQ849","B",146.5,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Small Form Factor PC ENERGY STAR","dc7900 SFF","A",143.1,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Small Form Factor PC ENERGY STAR","dc7900 SFF","B",186.4,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Small Form Factor PC ENERGY STAR","dc7900 SFF","C",206.7,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Small Form Factor PC ENERGY STAR","dc7900 SFF","D",229.9,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Convertible Minitower PC ENERGY STAR","dc7900 CMT","B",155.8,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Convertible Minitower PC ENERGY STAR","dc7900 CMT","C",177,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Convertible Minitower PC ENERGY STAR","dc7900 CMT","D",224.6,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Ultra-slim Desktop PC","dc7900 USDT","A",129.7,"kWh/year","www.energystar.gov"
"Desktop","HP","Compaq dc7900 Ultra-slim Desktop PC","dc7900 USDT","B",152.4,"kWh/year","www.energystar.gov"
"Desktop","Acer","Veriton L678G","Veriton L678G","B",138.8,"kWh/year","www.energystar.gov"
"Desktop","Acer","Veriton L679G","Veriton L679G","B",138.8,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Desktop","A",176.2,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Desktop","B",176.8,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Desktop","C",169,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Desktop","D",173.6,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Small Form Factor","A",172.9,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Small Form Factor","B",182.7,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Small Form Factor","C",183.1,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780 Small Form Factor","D",183.2,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780  Mini-Tower","A",199,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780  Mini-Tower","B",215.3,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780  Mini-Tower","C",202.5,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","760,780  Mini-Tower","D",214.1,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","360 Mini Tower","A",207,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","360 Mini Tower","B",200.3,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","360 Desktop","A",140.9,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex","360 Desktop","B",186.2,"kWh/year","www.energystar.gov"
"Desktop","Dell","Desktop","OptiPlex 360","A",140.9,"kWh/year","www.energystar.gov"
"Desktop","Dell","Desktop","OptiPlex 360","B",186.2,"kWh/year","www.energystar.gov"
"Desktop","Dell","Desktop","OptiPlex 360n","A",140.9,"kWh/year","www.energystar.gov"
"Desktop","Dell","Desktop","OptiPlex 360n","B",186.2,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex Ultra Small Form Factor","760","A",144.5,"kWh/year","www.energystar.gov"
"Desktop","Dell","OptiPlex Ultra Small Form Factor","760","B",166,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","7571","B",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","7571","C",230.3,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","9728","B",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","9728","C",230.3,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","3063","B",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p TOWER","3063","C",230.3,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6258","A",204.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6258","B",234.4,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6258","C",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6258","D",238.2,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","7220","A",204.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","7220","B",234.4,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","7220","C",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","7220","D",238.2,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6303","A",204.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6303","B",234.4,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6303","C",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6303","D",238.2,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6234","A",204.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6234","B",234.4,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6234","C",230.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p SFF","6234","D",238.2,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","6139","A",166.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","6139","B",186.8,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","6139","C",172.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","6139","D",177,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","8820","A",166.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","8820","B",186.8,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","8820","C",172.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","8820","D",177,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","9961","A",166.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","9961","B",186.8,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","9961","C",172.9,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","9961","D",177,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","7187","A",166.1,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","7187","B",186.8,"kWh/year","www.energystar.gov"
"Desktop","Lenovo","ThinkCentre M58/M58p Eco uSFF","7187","C",172.9,"kWh/year","www.energystar.gov"
